Designator,Mid X,Mid Y,Rotation,Layer
A1,-22.62,7.53,0.0,top
C1,2.08,-22.68,180.0,top
C2,-18.688,-36.491,0.0,top
C3,-2.47,-10.79,270.0,top
D1,31.447,-11.421,90.0,top
J1,1.851,-34.232,180.0,top
J2,7.0,30.0,180.0,top
J3,-7.0,30.0,90.0,top
J4,-29.747,-23.835,90.0,top
Q1,-7.98,-34.584,180.0,top
Q2,-8.689,-0.563,270.0,top
Q3,7.0,0.0175,270.0,top
R1,-6.28,-11.7,90.0,top
R2,-18.794,-32.04,0.0,top
R3,-10.06,-11.7,270.0,top
R4,26.444,-11.519,90.0,top
R5,4.63,-10.195,90.0,top
R6,1.09,-10.16,270.0,top
SW1,0.0,0.0,180.0,bottom
SW2,30.0,-23.0,180.0,top
U1,15.932,-21.712,270.0,top
U2,-15.399,-24.304,90.0,top
U3,0.0,13.775,90.0,top
U4,21.279,14.635,90.0,top
